algo,model_id,model_path,train_rmse,test_rmse,val_rmse,train_mae,test_mae,val_mae,train_bias,test_bias,val_bias,train_rpd,test_rpd,val_rpd,train_r2,test_r2,val_r2,param_bootstrap,param_max_depth,param_min_samples_leaf,param_min_samples_split,param_n_estimators
random_forest,10,/home/aline/Documentos/coffee-nir-moisture/output/models/random_forest/mean_centering/random_forest_model_010.joblib,1.8538223748408054,3.400027791909534,8.301501114006156,0.9901383972719828,2.1031018686927387,4.1248831529841254,-0.08236365324041345,-0.7054370304394713,2.8752703928084395,9.443899045865017,4.846848415164861,2.075213448334444,0.9887876323875184,0.9574322078658704,0.7677934566048144,True,10.0,1,5,100
random_forest,11,/home/aline/Documentos/coffee-nir-moisture/output/models/random_forest/mean_centering/random_forest_model_011.joblib,1.9240703023180228,3.3123297181271467,8.333554154287501,1.0018882291988325,2.0908947039616175,4.126501670349623,-0.10822354461240107,-0.63232635400055,2.810194537378622,9.099101699075328,4.975174791491162,2.067231631810502,0.987921779277719,0.9595998187614709,0.7659968430579226,True,10.0,1,5,300
random_forest,12,/home/aline/Documentos/coffee-nir-moisture/output/models/random_forest/mean_centering/random_forest_model_012.joblib,2.6315698187676686,5.682180830891199,8.53320774248005,1.242605383313938,3.090692972319073,4.033337715322328,-0.06436522439564357,-1.4774670148279088,2.7969039698806983,6.65280139333744,2.9001926910074345,2.018864098126604,0.977406116619944,0.8811097356844524,0.7546501311956804,True,10.0,2,2,100
random_forest,13,/home/aline/Documentos/coffee-nir-moisture/output/models/random_forest/mean_centering/random_forest_model_013.joblib,2.610856297697523,5.498970119556845,8.518738768389078,1.2552028492855876,3.104236813395208,4.025445846714858,-0.056189998092861064,-1.3496240123761443,2.7588115729057727,6.7055821388567995,2.9968192145879966,2.022293114219618,0.9777603971925908,0.8886528999058664,0.7554814601240747,True,10.0,2,2,300
random_forest,14,/home/aline/Documentos/coffee-nir-moisture/output/models/random_forest/mean_centering/random_forest_model_014.joblib,2.687854103086766,5.731544059002007,8.498358483909193,1.2800905581905888,3.1789444194673067,4.109983904157926,-0.050100253577817,-1.5716986200062297,2.8152841775720847,6.513490199061281,2.8752146271737202,2.027142863620934,0.9764293004520886,0.8790350746788613,0.7566500359968014,True,10.0,2,5,100
random_forest,15,/home/aline/Documentos/coffee-nir-moisture/output/models/random_forest/mean_centering/random_forest_model_015.joblib,2.720205724229849,5.67890578370012,8.526351963857834,1.3042889773960478,3.2185929270531406,4.085118135594193,-0.05723634734933921,-1.4888860238198312,2.785624024387893,6.436024746591184,2.9018652434828662,2.0204874049504093,0.9758584811837827,0.881246746112855,0.7550442124676534,True,10.0,2,5,300
random_forest,16,/home/aline/Documentos/coffee-nir-moisture/output/models/random_forest/mean_centering/random_forest_model_016.joblib,1.787834795105879,3.4666672737292754,8.366671845053313,0.8537440838615697,1.962822340360164,3.9314900650195135,-0.1048005052788063,-0.6587986424018172,2.9207361105916725,9.792465950930037,4.753677816044178,2.0590489351311674,0.9895716437325661,0.955747224707541,0.7641332821672826,True,20.0,1,2,100
random_forest,17,/home/aline/Documentos/coffee-nir-moisture/output/models/random_forest/mean_centering/random_forest_model_017.joblib,1.8603749377810124,3.3084377524873405,8.330923414591995,0.9035728684752306,1.959183864661611,3.9486650448089344,-0.11823699723169548,-0.5490743231639154,2.8057460338175244,9.410635996765462,4.981027466012832,2.0678844223888055,0.9887082293234412,0.9596947028792328,0.7661445601581657,True,20.0,1,2,300
random_forest,18,/home/aline/Documentos/coffee-nir-moisture/output/models/random_forest/mean_centering/random_forest_model_018.joblib,1.8538223748408054,3.400027791909534,8.301501114006156,0.9901383972719828,2.1031018686927387,4.1248831529841254,-0.08236365324041345,-0.7054370304394713,2.8752703928084395,9.443899045865017,4.846848415164861,2.075213448334444,0.9887876323875184,0.9574322078658704,0.7677934566048144,True,20.0,1,5,100
random_forest,19,/home/aline/Documentos/coffee-nir-moisture/output/models/random_forest/mean_centering/random_forest_model_019.joblib,1.9240703023180228,3.3123297181271467,8.333554154287501,1.0018882291988325,2.0908947039616175,4.126501670349623,-0.10822354461240107,-0.63232635400055,2.810194537378622,9.099101699075328,4.975174791491162,2.067231631810502,0.987921779277719,0.9595998187614709,0.7659968430579226,True,20.0,1,5,300
